Abita Brewing,BBE5WM,Covington,Louisiana,30.4754702,-90.1009108
People's Pint,loSfjp,Greenfield,Massachusetts,42.587915,-72.5994104
Alaskan Brewing,VPHkaP,Juneau,Alaska,58.3019444,-134.4197222
Barley Creek Brewing,yAvTZ6,Tannersville,Pennsylvania,41.0398099,-75.3057288
Anchor Brewing,6PBXvz,San Francisco,California,37.7749295,-122.4194155
Atlanta Brewing,NB1gDW,Atlanta,Georgia,33.7489954,-84.3879824
Avery Brewing,Jio9R0,Boulder,Colorado,40.0149856,-105.2705456
Flying Fish Brewing,M5zcKb,Cherry Hill,New Jersey,39.926813,-75.0246312
Smuttynose Brewing,v0MKXA,Portsmouth,New Hampshire,43.0717552,-70.7625532
BridgePort Brewing,b7IGo3,Portland,Oregon,45.5234515,-122.6762071
Boulevard Brewing,VDMEV7,Kansas City,Missouri,39.0997265,-94.5785667
Portland Brewing,RvOc0i,Portland,Oregon,45.5234515,-122.6762071
Boston Beer,eGBo2o,Boston,Massachusetts,42.3584308,-71.0597732
Sweetwater Brewing,5gKuQT,Atlanta,Georgia,33.7489954,-84.3879824
Speakeasy Ales and Lagers,QPe57Z,San Francisco,California,37.7749295,-122.4194155
Butte Creek Brewing,ckRH9f,Chico,California,39.7284944,-121.8374777
Flat Branch Brewing,Yb2ieo,Columbia,Missouri,38.9517053,-92.3340724
Anderson Valley Brewing,L2dAEr,Boonville,California,39.0089749,-123.3671551
Hoppy Brewing,YP7CZW,Sacramento,California,38.5815719,-121.4943996
Mendocino Brewing,TR98tr,Hopland,California,38.9729541,-123.1163918
Sierra Nevada Brewing,nHLlnK,Chico,California,39.7284944,-121.8374777
St. Stans Brewing,bQ8Tb6,Modesto,California,37.6390972,-120.9968782
Miller Brewing,MWi5Kp,Milwaukee,Wisconsin,43.0389025,-87.9064736
Stone Brewing,XzaYbl,Escondido,California,33.1192068,-117.086421
New Belgium Brewing,Jt43j7,Fort Collins,Colorado,40.5852602,-105.084423
Left Hand Brewing,Ro08YF,Longmont,Colorado,40.1672068,-105.1019275
Capitol City Brewing,Vq0Dad,Washington,Washington DC,38.8951118,-77.0363658
Anheuser-Busch,BznahA,St. Louis,Missouri,38.6270025,-90.1994042
Great Northern Brewing,W7ebLD,Whitefish,Montana,48.4110757,-114.3376334
River Horse Brewing,sYdp0k,Lambertville,New Jersey,40.3659394,-74.9429448
Brooklyn Brewery,4OBVPn,Brooklyn,New York,40.65,-73.95
Middle Ages Brewing,ecNEQD,Syracuse,New York,43.0481221,-76.1474244
Matt Brewing,URANPF,Utica,New York,43.100903,-75.232664
Full Sail Brewing,KmAbWk,Hood River,Oregon,45.7053966,-121.5214623
Hair of the Dog Brewing,PrX8es,Portland,Oregon,45.5234515,-122.6762071
Rogue Ales,X0l98q,Newport,Oregon,44.6367836,-124.0534505
Widmer Brothers Brewing,8wcv7h,Portland,Oregon,45.5234515,-122.6762071
Iron City Brewing,O2ScDy,Pittsburgh,Pennsylvania,40.4406248,-79.9958864
Victory Brewing,VoKbnS,Downingtown,Pennsylvania,40.0064958,-75.7032742
Redhook Brewery,YKa9wh,Woodinville,Washington,47.7542651,-122.1634582
North Coast Brewing,yLBNrD,Fort Bragg,California,39.445723,-123.8052935
Flying Dog Brewery,jmGoBA,Frederick,Maryland,39.4142688,-77.4105409
Harpoon Brewery,RzvedX,Boston,Massachusetts,42.3584308,-71.0597732
Coors Brewing,tRkMoN,Golden,Colorado,39.755543,-105.2210997
Bohemian Brewery,h6xAmH,Salt Lake City,Utah,40.7607793,-111.8910474
August Schell Brewing,E8C6fp,New Ulm,Minnesota,44.3144394,-94.4593018
Goose Island Beer,APW1BC,Chicago,Illinois,41.8781136,-87.6297982
Faust Brewing,PRWhwP,New Braunfels,Texas,29.7030024,-98.1244531
Capital Brewery,tWHPRC,Middleton,Wisconsin,43.0972174,-89.5042876
Yuengling,pX8lES,Pottsville,Pennsylvania,40.6856456,-76.195499
Live Oak Brewing,ZX0hI5,Austin,Texas,30.267153,-97.7430608
Real Ale Brewing,E6WUse,Blanco,Texas,30.0979862,-98.4214095
Spoetzl Brewery,f35hQR,Shiner,Texas,29.4291304,-97.1705425
Pyramid Breweries,By7ytz,Portland,Oregon,45.5234515,-122.6762071
Lakefront Brewery,Gcm31t,Milwaukee,Wisconsin,43.0389025,-87.9064736
Leinenkugel Brewing,ZDghkK,Chippewa Falls,Wisconsin,44.9369054,-91.3929348
Yards Brewing,jwWiTH,Philadelphia,Pennsylvania,39.952335,-75.163789
Diamond Knot Brewery,1Ybxin,Mukilteo,Washington,47.9445396,-122.3045815
Lancaster Brewing,VGDfKl,Lancaster,Pennsylvania,40.0378755,-76.3055144
Long Trail Brewing,2ntvtp,Bridgewater Corners,Vermont,43.5884026,-72.6559307
Shipyard Brewing,5N0usi,Portland,Maine,43.661471,-70.2553259
Big Time,17tUiZ,Seattle,Washington,47.6062095,-122.3320708
Hornsbys Pubdrafts Ltd.,dzjFKh,Modesto,California,37.6390972,-120.9968782
Pike Pub & Brewery,56YMAb,Seattle,Washington,47.6062095,-122.3320708
Legend Brewing,BhfQBs,Richmond,Virginia,37.5407246,-77.4360481
Dogfish Head Brewery,g0jHqt,Milton,Delaware,38.7776124,-75.3099136
Dillon Dam Brewery,79E0Ty,Dillon,Colorado,39.6302643,-106.0433518
Troegs Brewing,n5QFi2,Harrisburg,Pennsylvania,40.2737002,-76.8844179
Great Lakes Brewing,uSFO4T,Cleveland,Ohio,41.4994954,-81.6954088
City Brewery,tIgHYj,La Crosse,Wisconsin,43.8013556,-91.2395807
Magic Hat Brewing,qIqpZc,South Burlington,Vermont,44.4669941,-73.1709604
Marin Brewing,74gxr9,Larkspur,California,37.9340915,-122.5352539
Saint Arnold Brewing,H3UW27,Houston,Texas,29.7601927,-95.3693896
Snoqualmie Falls Brewing,N7gSdA,Snoqualmie,Washington,47.5287132,-121.8253906
Lion Brewery,rcfqNT,Wilkes-Barre,Pennsylvania,41.2459149,-75.8813075
Sprecher Brewing,tgXJjJ,Glendale,Wisconsin,43.135288,-87.9356423
Three Floyds Brewing,iodDki,Munster,Indiana,41.5644798,-87.5125412
Bells Brewery,q6vJUK,Kalamazoo,Michigan,42.2917069,-85.5872286
Deschutes Brewery,YHij73,Bend,Oregon,44.0581728,-121.3153096
Flossmoor Station,0D7L7l,Flossmoor,Illinois,41.5428123,-87.6847684
Bayern Brewing,0JJzXl,Missoula,Montana,46.8605189,-114.019501
Weyerbacher Brewing,a57dkm,Easton,Pennsylvania,40.688432,-75.2207323
Four Peaks Brewing,XHDhqx,Tempe,Arizona,33.4255104,-111.9400054
Bison Brewing,7SY01j,Berkeley,California,37.8715926,-122.272747
Magnolia Pub and Brewery,ScZdj3,San Francisco,California,37.7749295,-122.4194155
Third Street Aleworks,0uIMq6,Santa Rosa,California,38.4404674,-122.7144314
Atlantic Brewing,zUkUMx,Bar Harbor,Maine,44.3876119,-68.2039123
Shenandoah Brewing,XlzQjI,Alexandria,Virginia,38.8048355,-77.0469214
John Harvard's,z2MPZY,Cambridge,Massachusetts,42.3736158,-71.1097335
Old Dominion Brewing,xG9JyI,Dover,Delaware,39.158168,-75.5243682
Jack Russell Brewing,KaF5RS,Camino,California,38.738046,-120.6743853
Estes Park Brewery,ZurjSf,Estes Park,Colorado,40.3772059,-105.5216651
Southend Brewery & Smokehouse,iVJECx,Charleston,South Carolina,32.7765656,-79.9309216
Alcatraz Brewing,XIPWtQ,Indianapolis,Indiana,39.768403,-86.158068
Bear Republic,5tw2Iw,Healdsburg,California,38.6104658,-122.8691609
Just Beer,bevQW2,Westport,Massachusetts,41.6388889,-71.05
Casco Bay Brewing,lV8gC4,Portland,Maine,43.661471,-70.2553259
Great Adirondack Brewing,3A5MHE,Lake Placid,New York,44.2794911,-73.9798713
Great Divide Brewing,I8WZv2,Denver,Colorado,39.737567,-104.9847179
J.J. Bitting Brewing,VlTAxo,Woodbridge,New Jersey,40.5575986,-74.2846022
Millstream Brewing,bA9hdh,Amana,Iowa,41.8025,-91.8741667
Big Rock Chop House & Brewery,tc0H6U,Birmingham,Michigan,42.5467012,-83.2113192
Motor City Brewing Works,PS0Uh7,Detroit,Michigan,42.331427,-83.0457538
Newport Beach Brewing,TU0ZjV,Newport Beach,California,33.6189101,-117.9289469
Oaken Barrel,lq8HX0,Greenwood,Indiana,39.6136578,-86.1066526
Grand Teton Brewing,UdZgFF,Victor,Idaho,43.6026976,-111.1113318
Barrel House Brewing,IOz8d9,Cincinnati,Ohio,39.1031182,-84.5120196
Bend Brewing,2epqeB,Bend,Oregon,44.0581728,-121.3153096
Blind Tiger,STVYTP,Topeka,Kansas,39.0558235,-95.6890185
